INCIDENT_ID,OFFENSE_ID,OFFENSE_CODE,OFFENSE_CODE_EXTENSION,OFFENSE_TYPE_ID,OFFENSE_CATEGORY_ID,FIRST_OCCURRENCE_DATE,LAST_OCCURRENCE_DATE,REPORTED_DATE,INCIDENT_ADDRESS,GEO_X,GEO_Y,longitude,latitude,DISTRICT_ID,PRECINCT_ID,NEIGHBORHOOD_ID
2010104949.0,2010104949542000,5420,0,traffic-accident-dui-duid,traffic-accident,2010-03-05 01:19:59,,2010-03-05 01:50:00,3600 BLK PARK AVEW,3142142.0,1704557.0,-104.9943608,39.7667292,1,112,globeville
2010105377.0,2010105377544100,5441,0,traffic-accident,traffic-accident,2010-03-05 10:34:00,,2010-03-05 10:56:00,1800 BLOCK N LAFAYETTE ST,3148806.0,1696789.0,-104.9708166,39.7453006,6,622,city-park-west
2010105554.0,2010105554544100,5441,0,traffic-accident,traffic-accident,2010-03-05 12:43:00,,2010-03-05 12:43:00,S COLORADO BLVD / E YALE AVE,3157453.0,1668802.0,-104.9406797,39.6683282,3,313,university-park
2010105707.0,2010105707544100,5441,0,traffic-accident,traffic-accident,2010-03-05 14:25:00,,2010-03-05 15:52:00,N LINCOLN ST / E 19TH AVE,3144501.0,1697089.0,-104.9861197,39.746192,6,621,north-capitol-hill
2010168954.0,2010168954540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-10 21:55:00,,2010-04-10 22:16:59,3855 N PEORIA ST,3183414.0,1706133.0,-104.8475089,39.7703333,5,511,stapleton
2010169058.0,2010169058544100,5441,0,traffic-accident,traffic-accident,2010-04-10 22:50:00,,2010-04-10 23:04:59,1000 BLOCK N SANTA FE DR,3141028.0,1692224.0,-104.9985657,39.7328899,1,123,lincoln-park
2010169077.0,2010169077544100,5441,0,traffic-accident,traffic-accident,2010-04-10 23:04:59,,2010-04-10 23:06:59,,3133569.0,1689507.0,-105.0251367,39.7255413,1,122,barnum
2010169090.0,2010169090540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-10 23:00:00,,2010-04-10 23:15:00,3600 BLOCK E DARTMOUTH AVE,3156313.0,1666011.0,-104.9447898,39.6606855,3,313,wellshire
2010169150.0,2010169150544100,5441,0,traffic-accident,traffic-accident,2010-04-10 23:42:00,,2010-04-10 23:42:00,E COLFAX AVE / N JOSEPHINE ST,3152197.0,1694921.0,-104.9587974,39.7401177,2,213,congress-park
2010194799.0,2010194799540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-24 20:29:59,2010-04-24 20:29:59,2010-04-24 20:29:59,800 BLK N LOGAN ST,3145692.0,1691216.0,-104.9820034,39.7300509,6,623,capitol-hill
2010194804.0,2010194804544100,5441,0,traffic-accident,traffic-accident,2010-04-25 15:58:00,,2010-04-25 16:09:00,E 19TH AVE / N ULSTER ST,3170398.0,1697041.0,-104.8940274,39.745622,2,223,east-colfax
2010194986.0,2010194986540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-25 17:54:00,,2010-04-25 18:17:59,E 6TH AVE / N GARFIELD ST,3156391.0,1689659.0,-104.9439987,39.7256031,3,312,cherry-creek
2010195127.0,2010195127540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-25 19:09:59,,2010-04-25 19:21:59,2201 BLAKE ST,3142867.0,1700764.0,-104.9918573,39.7563057,6,612,five-points
2010195173.0,2010195173540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-04-25 19:54:00,,2010-04-25 20:09:00,I70 HWYEB / N PECOS ST,3138718.0,1710516.0,-105.0064256,39.7831392,1,111,sunnyside
2010195286.0,2010195286544100,5441,0,traffic-accident,traffic-accident,2010-04-25 21:18:59,,2010-04-25 21:53:59,I25 HWYSB / W 8TH AVE,3136397.0,1690899.0,-105.0150564,39.7293216,1,122,lincoln-park
2010195368.0,2010195368544100,5441,0,traffic-accident,traffic-accident,2010-04-25 22:25:00,,2010-04-25 23:03:00,N COLORADO BLVD / E 36TH AVE,3157265.0,1704710.0,-104.940562,39.7669058,2,221,northeast-park-hill
2010195539.0,2010195539542000,5420,0,traffic-accident-dui-duid,traffic-accident,2010-04-26 00:55:00,,2010-04-26 01:22:59,,3167679.0,1705640.0,-104.9034956,39.7692769,2,221,northeast-park-hill
2010122740.0,2010122740540100,5401,0,traffic-accident-hit-and-run,traffic-accident,2010-03-15 12:24:59,,2010-03-15 12:24:59,PLATTE ST / 15TH ST,3137969.0,1700793.0,-105.0092774,39.7564592,1,113,highland
2010122833.0,2010122833544100,5441,0,traffic-accident,traffic-accident,2010-03-15 13:40:00,,2010-03-15 13:51:59,1400 BLOCK N YORK ST,3152009.0,1694347.0,-104.959478,39.7385451,2,213,congress-park
2010122945.0,2010122945544100,5441,0,traffic-accident,traffic-accident,2010-03-15 15:01:00,,2010-03-15 15:13:00,1500 BLOCK S FEDERAL BLVD,3133799.0,1676285.0,-105.024565,39.6892407,4,422,ruby-hill
